id,content,source,label,tags,publication_date,author,link,label_enc
32,"Wiecie, że uśmiechnięta Polska od lipca opodatkuje sprzedaż rzeczy używanych w Internecie? No to już wiecie. Jeśli sprzedasz kurteczkę córki, bo z niej wyrosła albo piłkę do kosza syna, bo teraz zaczął biegać, będziesz musiał zapłacić podatek.",demagog_org,Fałsz,"Finanse,UE,Podatki",1715608680,Marcin Warchoł,https://demagog.org.pl/wypowiedzi/opodatkowanie-sprzedazy-internetowej-nie-ma-takich-planow/,0
33,W jaki sposób można się dostać na Białoruś? Na Białoruś można się dostać przez zieloną granicę albo mając odpowiednią wizę. […] Kto tę wizę [Tomaszowi Szmydtowi – przyp. Demagog] wydał?,demagog_org,Fałsz,"Białoruś,Bezpieczeństwo",1715354880,Piotr Kaleta,https://demagog.org.pl/wypowiedzi/tomasz-szmydt-kto-mu-wydal-wize-na-bialorus-nikt-nie-musial/,0
34,"Jeśli się nie przyjmuje migrantów, to należy, należy płacić. I kwota też jest ustalona dosyć szczególnie, no 20 tys. za jednego, ale myliłby się ten, kto by sądził, że to jest kwota ostateczna. To jest taka hasłowa kwota, bo Komisja Europejska może wyznaczyć każdą inną kwotę. Może ją podnieść do dowolnego poziomu, który nie jest określony w tym rozporządzeniu.",demagog_org,Manipulacja,"Uchodźcy,Migracja,Sprawy międzynarodowe,UE",1715354040,Karol Karski,https://demagog.org.pl/wypowiedzi/polska-zaplaci-za-kazdego-migranta-ktorego-nie-przyjmie/,2
35,"Wiecie, dlaczego ten dostęp jest inny? Bo Polska wydaje NAJMNIEJ ze wszystkich państw UE na ochronę zdrowia!",demagog_org,Fałsz,"Finanse,Zdrowie,Wybory europarlamentarne",1715341860,Anna Maria Żukowska,https://demagog.org.pl/wypowiedzi/wydatki-na-ochrone-zdrowia-w-polsce-na-tle-europy-2/,0
36,"Najważniejsze jest to, że dzisiaj Lewica ma najciekawsze i – uważam, że – najlepsze listy [w wyborach do Parlamentu Europejskiego – przyp. Demagog]. Proszę zobaczyć, jeśli chodzi o kobiety – najwięcej kobiet na listach – 53 proc., 6 liderek. Nie ma takiego drugiego ugrupowania.",demagog_org,Prawda,"Równouprawnienie,UE",1715339340,Robert Biedroń,https://demagog.org.pl/wypowiedzi/wybory-do-pe-ktory-komitet-wystawil-najwiecej-kobiet/,1
37,"Tutaj pan poseł Ćwik mówił o tym, że 80 proc. Polaków było za wejściem do Unii Europejskiej. Teraz […] pozytywnie obecność w Unii Europejskiej ocenia tylko 42 proc. Polaków […] sondaż z tego tygodnia.",demagog_org,Manipulacja,UE,1715251980,Bartłomiej Pejo,https://demagog.org.pl/wypowiedzi/czy-poparcie-dla-unii-europejskiej-wsrod-polakow-spadlo/,2
38,"Spójrzcie sobie tutaj, jak wyglądają łańcuchy dostaw w różnych branżach w zielonej energii. Zobaczcie na te czarne paski symbolizujące Chiny i na te szare pokazujące udział Unii Europejskiej. W zasadzie wszystko zostało zdominowane przez Chiny. Na 10 największych firm zajmujących się fotowoltaiką, produkcją tych paneli, 9 jest w Chinach, dziesiąta jest w Stanach Zjednoczonych, Europy w ogóle nie ma. Nawet w wiatrakach Chiny zaczynają dominować.",demagog_org,Prawda,"Energetyka,Ekologia,UE,Chiny",1715249100,Sławomir Mentzen,https://demagog.org.pl/wypowiedzi/zielona-energia-kto-jest-liderem-w-lancuchach-dostaw/,1
39,"Minister klimatu i środowiska Paulina Hennig-Kloska przekazała do Komisji Europejskiej projekt wygaszania polskiej elektrowni PGE Bełchatów. (…) Mieliśmy dobry rząd na trudne czasy, a teraz mamy… i kamieni milowych kupę.",demagog_org,Manipulacja,"Energetyka,Ekologia,UE,Górnictwo",1715164800,Dawid Jankowski,https://demagog.org.pl/wypowiedzi/rzad-tuska-wygasza-elektrownie-belchatow-zaczelo-sie-za-rzadu-pis/,2
40,"Chcą [Unia Europejska – przyp. Demagog] doprowadzić do tego, by nasze złoto 360 ton złota […] wylądowało we Frankfurcie razem z wielką częścią naszych zasobów walutowych.",demagog_org,Fałsz,"Finanse,UE",1715096940,Jarosław Kaczyński,https://demagog.org.pl/wypowiedzi/polska-w-strefie-euro-bedziemy-zmuszeni-do-przekazania-rezerw-zlota/,0
41,Samochody elektryczne. […] Jeszcze 3 lata temu Unia Europejska była liderem w sprzedaży samochodów elektrycznych […] obecnie Chiny produkują 3 razy więcej samochodów elektrycznych niż Europa.,demagog_org,W większości prawda,"UE,Transport,Chiny,Technologia",1714487760,Sławomir Mentzen,https://demagog.org.pl/wypowiedzi/samochody-elektryczne-kto-jest-liderem-sprzedazy/,4
42,"Kraje członkowskie NATO oraz Unii zamieszkuje łącznie ponad 920 mln ludzi, podczas gdy Rosję, nawet razem z Białorusią, tylko 153 mln, czyli sześciokrotnie mniej. Nominalny produkt krajowy brutto krajów NATO i Unii Europejskiej to ponad 45 bln dolarów. Łączne PKB Rosji i Białorusi wynosi zaledwie 2,2 bln dolarów, czyli 20 razy mniej.",demagog_org,W większości prawda,"Gospodarka,Bezpieczeństwo,NATO,Rosja",1714483440,Radosław Sikorski,https://demagog.org.pl/wypowiedzi/rosja-i-bialorus-a-nato-kto-ma-wiekszy-potencjal-gospodarczy/,4
43,"W Polsce realne płace, nie te nominalne, realne płace, w czasie kiedy jestem premierem, wzrosły o 12 proc. przy inflacji dzisiaj 2 proc. Jest to najwyższy wzrost płac w Polsce od 26 lat.",demagog_org,W większości prawda,"Finanse,Gospodarka",1714393740,Donald Tusk,https://demagog.org.pl/wypowiedzi/rekordowy-wzrost-plac-za-rzadow-tuska-policzylismy/,4
44,Uniwersytety. Na Liście Szanghajskiej najlepszych uniwersytetów na świecie w pierwszej dziesiątce nie ma żadnego z Unii Europejskiej. Pierwsze jest na 15. miejscu. W pierwszych 50 uniwersytetach tylko 5 jest z Unii Europejskiej.,demagog_org,Prawda,"Edukacja,Szkolnictwo wyższe",1714134480,Sławomir Mentzen,https://demagog.org.pl/wypowiedzi/lista-szanghajska-czyli-najlepsze-uniwersytety-na-swiecie-ktore/,1
45,"Jest takie pojęcie – jednorożec. Jednorożec to jest taki startup, który osiągnął wycenę powyżej miliarda dolarów. No i na 1000, ponad, 300 obecnych jednorożców na świecie wiecie, ile jest w Unii Europejskiej? 60 na ponad 1300. W Stanach Zjednoczonych jest ponad 600 takich firm. W Chinach jest ponad 300. W Indiach jest takich firm więcej niż w całej Unii Europejskiej. U nas zaledwie 60.",demagog_org,W większości prawda,"Gospodarka,UE",1714132260,Sławomir Mentzen,https://demagog.org.pl/wypowiedzi/mentzen-o-jednorozcach-jak-ue-wypada-na-tle-usa-chin-i-indii/,4
46,"Natomiast dzisiaj mamy sytuację taką, że Polaków po 60. roku życia mamy 25 proc., ale już za 26 lat mamy 40 proc., jak prognozuje GUS.",demagog_org,Prawda,"Polityka społeczna,Demografia",1714060680,Marzena Okła-Drewnowicz,https://demagog.org.pl/wypowiedzi/polska-sie-starzeje-juz-dzisiaj-co-czwarty-polak-jest-seniorem/,1
47,"Dzisiaj głównym operatorem na polskich lotniskach jest Ryanair, a nie LOT.",demagog_org,Prawda,Transport,1714045980,Ryszard Petru,https://demagog.org.pl/wypowiedzi/ryanair-czy-lot-ktora-linia-obsluzyla-w-polsce-wiecej-pasazerow/,1
48,"W USA prywatne firmy zainwestowały w rozwój AI 250 mld dolarów, w Chinach 100 mld, a w UE tylko 15 mld. Za to UE wprowadziła pierwsze na świecie kompleksowe przepisy dotyczące AI. USA i Chiny tworzą nowe technologie, a my produkujemy papier i tworzymy miejsca pracy w urzędach.",demagog_org,Manipulacja,"Technologia,Sztuczna inteligencja",1713964080,Sławomir Mentzen,https://demagog.org.pl/wypowiedzi/sztuczna-inteligencja-ktore-kraje-najwiecej-w-nia-inwestuja/,2
49,"Ministra Agnieszka Dziemianowicz-Bąk, najwięcej ustaw z jej ministerstwa powędrowało do rządu, jest prymuską w tym rządzie koalicji 15 października.",demagog_org,Fałsz,Polityka krajowa,1713960240,Katarzyna Kotula,https://demagog.org.pl/wypowiedzi/agnieszka-dziemianowicz-bak-prymuska-rzadu-sprawdzamy/,0
50,"Cieszę się, że Pani Minister publicznie prezentuje informację, że KPO to czysta pożyczka. Od początku mówiła o tym Suwerenna Polska. Bawi, że fakt uruchomienia POŻYCZKI jest celebrowany przez rząd niczym kopernikański przewrót.",demagog_org,Manipulacja,"Wybory europarlamentarne,Finanse,UE",1713958440,Sebastian Kaleta,https://demagog.org.pl/wypowiedzi/czy-pieniadze-z-kpo-bedzie-trzeba-zwrocic/,2
51,"Prawda jest taka, że po 1989 r. nie przeprowadzono w Polsce żadnego referendum z woli obywateli, a dziś sondaże pokazują w niektórych przypadkach, że nawet 70% obywateli chce referendum w tej sprawie [aborcji – przyp. Demagog].",demagog_org,Fałsz,"Referendum,Aborcja",1713785700,Paulina Hennig-Kloska,https://demagog.org.pl/wypowiedzi/co-polacy-mysla-o-referendum-w-sprawie-aborcji/,0
52,W tej kadencji wybudowaliśmy [we Wrocławiu – przyp. Demagog] 100 km dróg i ścieżek rowerowych.,demagog_org,Prawda,"Infrastruktura,Samorząd,Wybory samorządowe,Wybory,Wrocław,Transport",1713546300,Jacek Sutryk,https://demagog.org.pl/wypowiedzi/sciezki-rowerowe-dla-wroclawia-czy-jacek-sutryk-dotrzymal-obietnicy/,1
53,"[…] nadal we Wrocławiu mamy ponad 5000 lokali komunalnych, w których znajdują się piece na paliwo stałe.",demagog_org,Prawda,"Wybory samorządowe,Wybory,Wrocław,Mieszkalnictwo,Samorząd",1713542580,Izabela Bodnar,https://demagog.org.pl/wypowiedzi/kopciuchy-we-wroclawiu-ile-zlikwidowano-a-ile-zostalo/,1
54,Pan Waldemar [Szumny – przyp. Demagog] przez ostatnie trzy lata złożył zaledwie pięć interpelacji […] a w ostatnim roku słownie: zero.,demagog_org,Prawda,"Samorząd,Wybory samorządowe,Wybory,Rzeszów",1713539040,Konrad Fijołek,https://demagog.org.pl/wypowiedzi/ile-interpelacji-zlozyl-waldemar-szumny/,1
55,"Rzeczywiście 10 lat temu 85 proc. krakowian w referendum, krakowianek oczywiście, zadecydowało o tym, że chce rozwijania dynamicznego […] sieci tras rowerowych. Niestety mimo tej jednoznacznej deklaracji referendalnej w modal split ruch rowerowy to zaledwie ok. 5 proc.",demagog_org,Prawda,"Kraków,Transport,Samorząd,Wybory samorządowe",1713531000,Aleksander Miszalski,https://demagog.org.pl/wypowiedzi/krakowianie-mieli-przesiasc-sie-na-rowery-a-jak-wyszlo/,1
56,"Wynik do Rady Miasta, zmniejszenie klubu radnych [prezydenta Fijołka – przyp. Demagog] o 9 aż osób – najmniejszy klub. Klub mój, Bezpieczny Rzeszów, największy, po raz pierwszy w historii miasta. […] Sam utraciłeś [Konrad Fijołek – przyp. Demagog] 17 tys. głosów, więcej niż na stadionie Stali się mieści.",demagog_org,W większości prawda,"Samorząd,Wybory samorządowe,Wybory,Rzeszów",1713529380,Waldemar Szumny,https://demagog.org.pl/wypowiedzi/czy-konrad-fijolek-stracil-caly-stadion-zwolennikow/,4
57,"Aleksander Miszalski jest członkiem partii politycznej i ma przełożonych. W statucie PO jest napisane, że każdy członek musi się stosować do uchwał władz tej partii.",demagog_org,Prawda,"Samorząd,Polityka krajowa,Kraków",1713526680,Łukasz Gibała,https://demagog.org.pl/wypowiedzi/czlonkowie-platformy-a-uchwaly-wladz-partii-co-wynika-ze-statutu/,1
58,"To wszystko może zostać zalane, jeśli rozporządzenie o przywracaniu zasobów naturalnych wejdzie w życie. Rozporządzenie, które nakłada na państwa członkowskie, a w konsekwencji na rolników, obowiązek zalania osuszonych torfowisk.",demagog_org,Fałsz,"Ekologia,Rolnictwo,UE,Klimat",1713436920,Anna Bryłka,https://demagog.org.pl/wypowiedzi/zalewanie-torfowisk-nowym-obowiazkiem-dla-rolnikow-falsz/,0
59,"Nocna prohibicja […] w ogóle w Krakowie się sprawdza. Jest dużo mniej w tej chwili, spadło o 50 proc., interwencji Straży Miejskiej w związku z tym.",demagog_org,W większości prawda,"Samorząd,Policja,Bezpieczeństwo",1713430560,Aleksander Miszalski,https://demagog.org.pl/wypowiedzi/nocna-prohibicja-w-krakowie-jakie-przyniosla-skutki/,4
60,"Przez ten strach 68% polskich kobiet deklaruje, że nie chce mieć dzieci, że boi się rodzić dzieci w tym kraju.",demagog_org,Manipulacja,"Polityka społeczna,Wybory samorządowe,Demografia,Aborcja",1713362340,Izabela Bodnar,https://demagog.org.pl/wypowiedzi/ponad-polowa-kobiet-nie-chce-miec-dzieci-nie-do-konca/,2
61,Wrocławskie MPK posiada tylko 13 autobusów elektrycznych obsługujących „zieloną linię K”.,demagog_org,Prawda,"Transport,Klimat,Samorząd,Wybory samorządowe",1713351420,Izabela Bodnar,https://demagog.org.pl/wypowiedzi/autobusy-elektryczne-we-wroclawiu-ile-ich-jest/,1
62,"Obecnie można dokonać aborcji, wedle mojej wiedzy (poprawcie mnie, jeśli się mylę) bez ograniczeń, jeżeli ciąża jest poczęta w wyniku czynu zakazanego: gwałt, kazirodztwo, pedofilia, współżycie w miejscu publicznym. To czwarte mało kto pamięta.",demagog_org,Manipulacja,"Polityka społeczna,Polityka krajowa,Aborcja",1713350160,Krzysztof Bosak,https://demagog.org.pl/wypowiedzi/nie-seks-w-miejscu-publicznym-nie-jest-przeslanka-do-legalnej-aborcji/,2
63,"Mówił też [Łukasz Gibała – przyp. Demagog], że wprowadzi opłatę turystyczną w postaci 50 zł za dobę, jak rozumiem, dla turysty, również tego polskiego, który przyjeżdża do Krakowa, również pewnie wycieczek szkolnych. […] Nigdzie nie ma takiej opłaty turystycznej. Jedno euro, dwa euro w całej Europie.",demagog_org,W większości prawda,"Samorząd,Wybory samorządowe,Kraków,Turystyka",1713281040,Aleksander Miszalski,https://demagog.org.pl/wypowiedzi/oplata-turystyczna-w-krakowie-co-proponuje-gibala/,4
64,"Uważam, że za jakąś część tych wyników odpowiada PiS, ale w inny sposób, niż o tym myślimy. Mówię tutaj o wyznaczeniu daty tych wyborów. Ja sobie zdałam z tego sprawę wczoraj, gdy szłam na wybory z moim synem i wypytywałam go o jego znajomych, jego kolegów. […] Młodzi ludzie, zameldowani z rodzicami bardzo często, […] nie przyjechali dlatego, że tydzień wcześniej byli u swoich rodziców na świętach.",demagog_org,Fałsz,Samorząd,1712841420,Joanna Mucha,https://demagog.org.pl/wypowiedzi/mlodzi-zdemobilizowani-przez-pis-date-wyborow-wskazal-tusk/,0
65,"[…] finansach Wrocławia, które są bardzo bezpieczne. My mamy deficyt budżetowy na poziomie 300 mln zł, przy budżecie po stronie wydatków na ponad 7 mld 300 mln zł. Mamy bezpieczną obsługę naszego zadłużenia, które […] tylko i wyłącznie, zresztą, jest zaciągane w związku z realizowanymi inwestycjami.",demagog_org,Fałsz,"Samorząd,Wybory samorządowe,Wrocław,Budżet",1712831400,Jacek Sutryk,https://demagog.org.pl/wypowiedzi/deficyt-budzetowy-wroclawia-ile-wynosi/,0
66,Ten Sejm składa się w 70 proc. z mężczyzn.,demagog_org,Prawda,"Sejm,Polityka krajowa,Równouprawnienie",1712790480,Szymon Hołownia,https://demagog.org.pl/wypowiedzi/polski-sejm-jest-mezczyzna-sprawdzamy-ilu-mamy-poslow/,1
67,"Masz prawo jazdy kategorii B? Zapomnij, że wejdziesz za kierownicę SUV-a. Od kilku miesięcy w Parlamencie Europejskim toczy się zażarta dyskusja nad ograniczeniem dopuszczalnej masy pojazdu na kategorii B. Obecnie kategoria B pozwala prowadzić samochód do wadze o 3,5 tony. Według nowej propozycji Unii waga ta ma być zmniejszona o aż 50 proc. do 1,8 tys. kg.",demagog_org,Manipulacja,"Sprawy międzynarodowe,UE",1712790180,Michał Pietruch,https://demagog.org.pl/wypowiedzi/ue-ograniczy-mozliwosc-jazdy-suv-ami-wyjasniamy/,2
